SYMBOL,COMPANY NAME,STOCK PRICE
ATRL,Attock Refinery Ltd.,100.54
AVN,Avanceon Ltd. Consolidated,78.1
BAHL,Bank AL-Habib Ltd.,54.97
CHCC,Cherat Cement Company Ltd.,126.26
DAWH,Dawood Hercules Corporation Ltd. Consolidated,95
DGKC,D. G. Khan Cement Company Ltd.,54.83
EFERT,Engro Fertilizers Ltd.,81.69
ENGRO,Engro Corporation Ltd. Consolidated,257.33
FFBL,Fauji Fertilizer Bin Qasim Ltd. Consolidated,17.96
FFC,Fauji Fertilizer Company Ltd. Consolidated,102.94
GHNIh,Ghandhara Industries Ltd.,131.46
HBL,Habib Bank Ltd.,68.29
HUBC,The Hub Power Company Ltd. Consolidated,69.66
ICI,I.C.I Pakistan Ltd. Consolidated,698
IGIHL,IGI Holdings Ltd. Consolidated,98.12
INIL,International Industries Ltd. Consolidated,94.88
ISL,International Steels Ltd.,49.46
KAPCO,Kot Addu Power Company Ltd.,28.04
LUCK,Lucky Cement Ltd. Consolidated,487.93
MARI,Mari Petroleum Company Ltd.,1668.85
MCB,MCB Bank Ltd.,119.44
MEBL,Meezan Bank Ltd.,111.18
MLCF,Maple Leaf Cement Factory Ltd. Consolidated,27.18
MTL,Millat Tractors Ltd. Consolidated,664.87
NML,Nishat Mills Ltd. Consolidated,60.5
OGDC,Oil & Gas Development Company Ltd.,74.39
PAEL,Pak Elektron Ltd.,15.75
PIOC,Pioneer Cement Ltd.,70.15
PKGS,Packages Ltd. Consolidated,390
POL,Pakistan Oilfields Ltd.,414.61
PPL,Pakistan Petroleum Ltd.,56.99
PSO,Pakistan State Oil Company Ltd. Consolidated,147.42
SEARL,The Searl Company Ltd. Consolidated,74.66
SYS,Systems Ltd.,458.78
TRG,TRG Pakistan Ltd.,141.55
UBL,United Bank Ltd.,109.03
UNITY,Unity Foods Ltd.,16.72
